INFO  2015-07-28 11:36:27,592 41969ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-07-28 11:37:36,568 110945ms ActivityLoggingSystem  logActivity        - admin Deleted User with ID : 42
INFO  2015-07-28 11:38:41,413 175790ms ActivityLoggingSystem  logActivity        - admin Edited User with ID : 41
INFO  2015-07-28 11:38:45,218 179596ms ActivityLoggingSystem  logActivity        - admin Logged out
INFO  2015-07-28 11:39:00,766 195143ms ActivityLoggingSystem  logActivity        - test Logged In Successfully
INFO  2015-07-28 11:39:35,745 230122ms ActivityLoggingSystem  logActivity        - test Logged out
INFO  2015-07-28 11:39:42,934 237312ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-07-28 11:40:18,500 272877ms ActivityLoggingSystem  logActivity        - admin Edited CBT called : Test Test Account
INFO  2015-07-28 11:40:55,050 309427ms ActivityLoggingSystem  logActivity        - admin Edited CBT called : Admin Account
INFO  2015-08-12 15:14:20,266 77758ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 09:36:25,701 67671ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 09:37:29,442 131412ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 10:38:23,674 140538ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 10:41:42,328  4131ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 10:42:33,435 55238ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-13 10:43:05,061  3768ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 09:14:35,250 23789ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 09:21:22,736 12310ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 09:33:36,978  8432ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 09:51:17,275  3757ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 10:00:56,777 12032ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 10:02:40,969  6711ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 10:07:59,242 324983ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
INFO  2015-08-14 10:22:38,919 64686ms ActivityLoggingSystem  logActivity        - admin Logged In Successfully
